system:index,Albedo_01,Albedo_02,Albedo_03,Albedo_04,Albedo_05,Albedo_06,Albedo_07,Albedo_08,Albedo_09,Albedo_10,Albedo_11,Albedo_12,ET_01,ET_02,ET_03,ET_04,ET_05,ET_06,ET_07,ET_08,ET_09,ET_10,ET_11,ET_12,Id,LST_Day_01,LST_Day_02,LST_Day_03,LST_Day_04,LST_Day_05,LST_Day_06,LST_Day_07,LST_Day_08,LST_Day_09,LST_Day_10,LST_Day_11,LST_Day_12,LST_Night_01,LST_Night_02,LST_Night_03,LST_Night_04,LST_Night_05,LST_Night_06,LST_Night_07,LST_Night_08,LST_Night_09,LST_Night_10,LST_Night_11,LST_Night_12,crop,ele,forest,.geo
00000000000000000018,0.39694151737094596,0.3889631295139204,0.2796577027658948,0.14171096865211255,0.11316995826712015,0.12126127335960278,0.12785464625551998,0.12396594545328715,0.12345158983899951,0.15424248047560102,0.27472720132040834,0.38760021388311783,6.6839923237884316,6.933567128061528,7.064168275917498,8.048472430001716,12.050681179604716,22.15491514614535,25.52123462506429,17.084357881613002,7.959164293480021,5.631990424658812,5.943538123540272,5.741900363308565,5686,266.68698684357486,272.24784202662664,283.45723649065246,291.6138669387511,294.3351813915993,294.47276022642154,295.1633044447301,295.96395437044555,292.54546785838204,285.18616491594406,275.54748183784886,268.14031561551184,257.4082409379319,259.3920184823557,265.60302737889555,271.20824356762813,274.78370407221854,278.72434921767075,280.75126944587004,279.91533748778915,275.4048354064582,269.38683614260646,263.5731417019952,259.04617613278157,44,2426.376177911798,20,"{""type"":""Polygon"",""coordinates"":[[[81.04552168696308,43.13888200276559],[81.09044154523298,43.13888198066471],[81.13536139942573,43.13888195770383],[81.18028129506142,43.13888194601304],[81.22520110905904,43.13888194462012],[81.22520110905904,43.318561419690184],[81.18028129506142,43.31856146793873],[81.13536139942573,43.318561454527625],[81.09044154523299,43.31856145358129],[81.04552168696308,43.31856145296871],[81.04552168696308,43.13888200276559]]]}"
00000000000000000019,0.39309347655028387,0.43729008419051335,0.33977629452616337,0.14451186125895346,0.13091431853289373,0.139161831143193,0.13656951757073507,0.13025833575202786,0.12671905624655078,0.15654441977840705,0.287075619576047,0.3739591473526909,6.356602350463491,5.771840849307145,4.924298978208019,7.936020798598499,18.202311797331056,23.715805595396372,19.270316318301266,11.147204343538279,5.5972777446858375,3.9249875714353197,5.273678187188778,5.458067510592351,5779,265.3178375895311,269.3116520961062,282.64232785643367,295.1058672037421,298.3669358934247,302.7126822215723,305.73549223017153,305.8437303590506,298.9388239180037,287.9841193460187,274.99935009451735,266.8627559799039,261.1675981298725,263.0748686356254,270.90224991516607,277.7516586492278,281.48607732062425,285.74082358155823,287.6708519120153,286.1566265567573,281.0901412520093,275.1825401857613,269.1863953316459,262.8535509150894,115,1517.158319870759,20,"{""type"":""Polygon"",""coordinates"":[[[82.12360302695353,43.318561476894146],[82.1685228512746,43.31856142746804],[82.21344272675361,43.31856142955128],[82.2583626054625,43.31856148734032],[82.3032824391526,43.318561458495225],[82.3032824391526,43.49824091061185],[82.2583626054625,43.498240916222436],[82.21344272675361,43.49824091022628],[82.1685228512746,43.498240961427676],[82.12360302695353,43.498240919651316],[82.12360302695353,43.318561476894146]]]}"
00000000000000000011,0.28134648030942633,0.2702621058307334,0.2559188253520878,0.2527643583730346,0.24742468385963992,0.2399231489244664,0.23479100772030068,0.23391826255767548,0.23265399264988154,0.238541203068295,0.25104269422209946,0.26212682113133273,5.845549250730129,5.278456966805804,3.1798124180398264,2.0850674488952903,2.3905514384715576,2.9119556003876075,3.657842937331612,4.6860158041998945,4.4912030538797465,3.9746232817117666,5.2470488774109025,5.666066955492767,1670,278.29974333602365,287.8911537895222,298.28810018285924,307.49275345413156,312.70128191141947,317.1798231991427,318.9295134109877,314.6218458758668,307.27787376206606,298.34850019382924,288.10262725651074,279.05218503997605,255.6646557584553,260.67699180355754,268.4853883942035,274.8606919514341,280.4539807192747,286.44382259077383,289.61796132665467,287.816493646784,280.91925411005576,272.65347913664255,264.37640119803376,257.1923729530998,26,1438.3168044077136,21,"{""type"":""Polygon"",""coordinates"":[[[102.60712131631414,38.28752271609299],[102.6520412276256,38.28752274449724],[102.69696104880846,38.287522761918844],[102.74188094088363,38.28752273822681],[102.78680080218007,38.287522751129224],[102.78680080218007,38.46720223345397],[102.74188094088363,38.467202189247644],[102.69696104880846,38.46720218388499],[102.6520412276256,38.46720221883026],[102.60712131631414,38.46720216633508],[102.60712131631414,38.28752271609299]]]}"
0000000000000000001d,0.3351018264996268,0.3257568381546954,0.25434217480807914,0.13859985630401578,0.10473875251471873,0.1095702361234216,0.10889046511833264,0.10680877284953035,0.10809277702649185,0.13379863485840876,0.2540919163384723,0.3232024962371141,5.697437985430224,6.605182301001752,7.978796779090515,7.874613346905769,11.463206826477395,16.900399564765376,16.322987716763002,10.925373818190842,6.387238878320042,5.417526683251005,5.95946679483421,5.0340981996755705,5995,263.77152140046735,268.4861487875804,279.1176356943787,290.3820048812438,295.4168121589537,299.4329591100595,301.0671991811175,300.2817923048859,294.3834778626997,284.2436238014179,272.27082545273515,264.534981100924,258.05883985629407,260.42635270756233,267.77153540874434,274.780246349289,279.32854623261574,284.8914561537724,286.52026884017255,284.7531894057354,279.1640147786373,272.584167812697,265.4540677248659,259.8487420603014,38,1827.4308422791075,22,"{""type"":""Polygon"",""coordinates"":[[[90.02952226127728,43.677920393135736],[90.07444212465658,43.67792037628273],[90.11936197940136,43.67792040110238],[90.16428187157592,43.677920394288265],[90.20920177725569,43.67792042886711],[90.20920177725569,43.857599860118064],[90.16428187157592,43.85759989528907],[90.11936197940136,43.857599902352135],[90.07444212465658,43.857599881440194],[90.02952226127728,43.857599905590995],[90.02952226127728,43.677920393135736]]]}"
0000000000000000001f,0.5375994883124158,0.5087111392174357,0.41273471048540844,0.19798760632196788,0.12041087143818333,0.12994235437811671,0.1272582278313158,0.12241003408102877,0.12545101360203284,0.19216877793207865,0.38633385190433134,0.5241605065771361,5.912220858115128,6.841183153750649,7.336373404658614,7.708648922411582,14.599548462845458,25.03303834391452,20.24006109749684,11.36649341476304,6.062383081374968,5.101087422902868,5.918351649684747,5.8384281090071894,6201,264.6991334068824,268.0934723785941,277.52788310056974,288.71212291124937,293.24605299032424,296.1751239384678,299.33147924981876,300.4012014534143,294.6226043093633,284.1956104083605,272.76510161005393,265.99377658447173,259.26912035314507,261.2338110805846,267.7908643923615,274.36834137896545,278.853523049493,283.1728149147677,285.16490539186844,284.02654632771765,278.9333451025239,272.4911576747057,265.74093480063533,260.9258837285953,24,1975.524394347241,22,"{""type"":""Polygon"",""coordinates"":[[[81.04552168696308,44.216963282422036],[81.09044154523298,44.21696329979053],[81.13536139942573,44.21696332047145],[81.18028129506142,44.216963284781194],[81.22520110905904,44.216963263523716],[81.22520110905904,44.39664274063095],[81.18028129506142,44.396642801672236],[81.13536139942573,44.396642805591846],[81.09044154523298,44.39664275340706],[81.04552168696308,44.39664277605757],[81.04552168696308,44.216963282422036]]]}"
00000000000000000020,0.6142630873055547,0.6275514469811084,0.3897092476943599,0.20061232473039983,0.17263028065380073,0.14548684142695445,0.17057565566947339,0.180786881234963,0.18215231530180612,0.1945110519670286,0.2756808507739617,0.5667198833498753,,3.1,4.380993762840892,3.3149074949761625,4.079864902972846,11.460947716860296,18.914021948206067,8.802908374636802,4.6186843339019035,4.077342305148899,4.943854821947626,6.0,7186,255.9760131816545,262.11111557786677,282.831199039431,300.2644592841876,305.4954328077613,305.69304933920955,306.20865552373806,306.1996825209214,298.22347022091776,287.55243160859277,274.4199155743654,259.33418290943075,246.43565407462535,250.8196186702525,264.9829306847374,274.6181502595689,281.206013699068,288.59161040034013,289.0410542191685,285.48919370815764,277.9814710783497,269.49967212951043,261.4743863626981,250.98001422955107,34,491.2459658467805,22,"{""type"":""Polygon"",""coordinates"":[[[87.514000703316,47.27152335338378],[87.55892058561989,47.271523343830324],[87.6038404448083,47.27152329901636],[87.64876025224184,47.27152329303826],[87.69368014759868,47.2715233288168],[87.69368016553256,47.45120278702862],[87.64876031786262,47.45120279166146],[87.60384042208138,47.451202830628425],[87.55892050533726,47.45120282953877],[87.51400067022252,47.45120279052573],[87.514000703316,47.27152335338378]]]}"
0000000000000000000c,0.2186573766878182,0.2194293115969164,0.17798924802051166,0.14735681987112584,0.13608921454715145,0.13282941945920482,0.1338666169091915,0.1335802354524091,0.13123763176791975,0.14482376163632046,0.1986938318683437,0.22198976635661805,6.890052517635847,8.143485512627104,8.96846739760478,9.495477810561058,10.284973483707702,13.785915403179228,18.258688323106178,15.894549683841383,11.291104638124002,8.375620711277273,7.326833864115708,6.317238660285929,1535,272.25772988011147,278.29917012494906,285.7826905719426,292.5063531694535,296.76134205675794,298.7257176676932,299.572653679182,297.0164669347595,292.16849519457,285.9925525756767,277.86979634035356,272.03566121258655,255.49308990074204,257.0864790850059,262.5811949432021,267.98303235326887,272.5998030421087,277.19509555626763,280.60698735760764,278.86668164258447,273.9662121226582,268.0014593693454,261.9722106787425,256.9643805111964,125,3063.1545825208286,23,"{""type"":""Polygon"",""coordinates"":[[[101.34936051232864,38.10784325246513],[101.39428038152539,38.10784321505478],[101.43920030842933,38.107843240628604],[101.484120185304,38.10784324897674],[101.52903999121844,38.10784323105126],[101.52903999121844,38.28752272396123],[101.484120185304,38.287522683262445],[101.43920030842933,38.28752269948274],[101.39428038152539,38.287522702288335],[101.34936051232864,38.28752269225071],[101.34936051232864,38.10784325246513]]]}"
0000000000000000001b,0.21749657162712085,0.20751783987889247,0.17156727110046438,0.11590859262339231,0.08536393931657119,0.08375799258202284,0.08588674527496779,0.08423592053057184,0.08540411878831683,0.10533874002454371,0.1563205857227764,0.21062753254045535,5.8772049434215194,6.516003290990474,6.521414372302013,6.655994783020625,9.326989193538758,14.049038309966358,15.843898242057357,11.730073897315604,6.403753045512392,4.832294003160563,5.817136317498563,5.21308298842177,5989,264.56822835836044,269.5368675486582,277.7665212595541,285.4905084941541,290.7225498507268,294.41789588679956,294.93507487122156,293.94715968538276,288.90885218592194,280.6431389945885,271.9273957181911,265.48588795274145,258.5490276746889,260.53324081102863,266.1818021055841,272.0943006920682,276.04153889858543,281.0998812986994,282.8768761380508,281.59873714946946,276.6328478807088,270.6383244185011,264.79458816286586,260.195378578024,119,2234.0153508771923,24,"{""type"":""Polygon"",""coordinates"":[[[88.951440988667,43.677920389037055],[88.99636082339127,43.67792040697099],[89.04128072503141,43.67792038355682],[89.08620054662141,43.67792039161677],[89.13112043160604,43.67792043320877],[89.13112043160604,43.85759988822954],[89.08620054662141,43.85759985546927],[89.04128072503141,43.857599859632515],[88.99636082339127,43.857599898661114],[88.951440988667,43.85759990000189],[88.951440988667,43.677920389037055]]]}"
00000000000000000014,0.32789816473525607,0.34330649540887953,0.23354832292374497,0.2211957106425318,0.1915504840494212,0.1748828479326581,0.16701972783352997,0.14805879980269285,0.15630521376698592,0.18342799662741985,0.20357324734478413,0.21454953799324702,5.900045683487528,3.938654652708533,0.8960220976053646,0.7040208870864475,0.9578303026413904,1.2733612379182,0.979057367630084,0.855795738820928,0.9334235693332961,0.830405107955989,3.244604883221458,5.836318178697504,3473,276.31717422522024,283.71026185873853,294.66924277707824,303.4999644070202,309.25031328671326,312.7190064410855,313.27338789269874,308.29013301253127,302.70612893981945,295.65628985564376,285.43185539399633,276.8637316673529,258.33791898335113,264.08367200598263,272.12118676892385,278.61196061814553,283.414058650802,288.8037648796604,291.48550947023415,290.67742499568647,285.67752552380955,277.1473856942497,269.0296681112315,261.47613218608444,50,1032.72,25,"{""type"":""Polygon"",""coordinates"":[[[80.68616272212861,40.2640014290451],[80.73108261490903,40.26400143918377],[80.7760024621236,40.26400140755865],[80.82092231256799,40.264001424358014],[80.86584221456292,40.26400142499108],[80.86584221456292,40.443680881292934],[80.82092231256799,40.44368087193818],[80.7760024621236,40.44368092738218],[80.73108261490903,40.44368088074585],[80.68616272212861,40.443680873291406],[80.68616272212861,40.2640014290451]]]}"
00000000000000000016,0.2160329828857447,0.22966659202804457,0.23709233783058015,0.18433845515077943,0.10315645988550357,0.09607278076349376,0.09931658759919262,0.09185711392585266,0.08913067963771559,0.11862222739095304,0.18389576912143032,0.21785523984278926,5.980641851851488,6.763901439487767,8.118589443838772,8.915130906309699,12.128155790503701,19.125601476267803,21.659939167124307,15.047412185911385,8.13305020065203,6.261468529832104,5.982807791261222,5.235020158724857,5388,263.1474961608795,266.59504923478045,275.63413693804625,284.6297755073797,290.04199963402266,292.61296571333986,293.5966115804523,293.66770342171884,288.68256728556184,279.9180005808314,270.4004393667757,264.3455673000568,257.98835823453845,259.3547147294666,265.517015032618,271.4900023355518,275.1580786155478,278.7897775118427,280.8931404483582,280.28641675699413,276.0819340825794,270.05665308814224,263.97332101225993,259.82000487114544,110,2571.718946047679,25,"{""type"":""Polygon"",""coordinates"":[[[80.68616272212861,42.59983908139181],[80.73108261490903,42.59983912193549],[80.7760024621236,42.59983908303703],[80.82092231256799,42.59983912590048],[80.86584221456292,42.59983911506273],[80.86584221456292,42.77952304691992],[80.82092231256799,42.77952300242496],[80.7760024621236,42.77952305374838],[80.73108261490903,42.77952304034551],[80.68616272212861,42.77952302313274],[80.68616272212861,42.59983908139181]]]}"
0000000000000000001c,0.2138119691988138,0.2103525659929172,0.17485985492849945,0.11770454915909821,0.08719837967473491,0.08565674734270853,0.0865116577747403,0.08460152095411871,0.08639746291982267,0.11189203264999027,0.1670824294958789,0.2076673352386494,5.650835911737585,6.584989730087613,7.100029643431247,7.375245394757087,11.546778777506644,16.773562178966362,17.845023540010782,14.295443061469918,7.751271667561162,4.830210244793856,5.573715882120635,4.953899642979391,5990,264.60016638839113,269.08039273600616,277.3040342779625,285.7323751262192,290.8891870258989,294.55650442735487,295.5749477611619,294.6941195883334,289.3276530662228,280.6925516458951,271.99382031628124,265.72663983405175,259.27903897219335,261.28442657065875,267.1166223522579,273.34905474168806,277.277257248875,282.3933756166868,284.0800578086985,282.815468337856,277.70382640028186,271.6955534658697,265.689148592987,261.10464097031615,98,2130.2237849017574,25,"{""type"":""Polygon"",""coordinates"":[[[89.13112043160604,43.67792043320877],[89.17604030367762,43.67792043539013],[89.22096015825922,43.6779203989364],[89.26588006210049,43.67792039820106],[89.31079993564184,43.67792043335711],[89.31079993564184,43.85759988884334],[89.26588006210049,43.85759992130465],[89.22096015825922,43.857599920160354],[89.17604030367762,43.85759988523905],[89.13112043160604,43.85759988822954],[89.13112043160604,43.67792043320877]]]}"
00000000000000000001,0.17033327658781838,0.18255701071076225,0.14969072443027237,0.13833408632676003,0.1354862603899156,0.13445449127749162,0.13369542301644174,0.13329158848631265,0.1272188327266423,0.12649431026742464,0.14746892955936097,0.15613009898509,7.159657051679232,8.48886616019324,8.89531255791605,8.876778310194656,9.15822841567546,12.47922795327701,17.67964673393674,15.780925186208812,11.346388003867908,8.710360261906919,7.61786828862813,6.494521387257238,738,275.5003808355304,281.8453552660283,289.02344865604243,296.2943262286217,300.9444983173969,302.1140084003331,302.3965650438334,298.77355835420474,292.6487411503263,287.35787515900165,281.13546494043584,275.5587168370547,255.54520499552868,258.4734179011342,264.10902664189945,268.9131431600413,273.65071435411846,277.6132655156182,281.1385783994247,279.4454309566055,275.05856709248803,269.5900642832703,263.1542558209852,257.1473478648441,32,2831.695931477516,28,"{""type"":""Polygon"",""coordinates"":[[[102.96648028087594,36.850082445952495],[103.01140013660053,36.85008242743623],[103.05632005770474,36.85008241691668],[103.10123985586984,36.85008242251717],[103.14615978264297,36.85008248401168],[103.14615978264297,37.02976192999255],[103.10123985586984,37.02976196143226],[103.05632005770474,37.0297618904841],[103.01140013660053,37.0297619191791],[102.96648028087594,37.029761958860085],[102.96648028087594,36.850082445952495]]]}"
00000000000000000017,0.3039635131292457,0.3169884292109692,0.28429846061435526,0.18504627272675,0.11287791904492372,0.11459108005526226,0.11510636492555935,0.10746829679148108,0.10805411771133548,0.14756699854515395,0.2523950735363498,0.2981448939845557,6.240013454825115,6.755907589249883,7.445063146456709,8.209002550882007,13.282122225131806,23.01652931500764,23.46982501671301,15.59706033380136,8.29588175218622,5.67291561436712,5.898085791449142,5.487032704892364,5507,264.5166401600261,268.3690809672061,278.46119607809277,287.6036269846071,291.57703812611817,293.490265975064,295.23847144500854,295.6806733695346,291.24554293312997,282.74681103721167,272.68431006465164,265.6315806931492,257.8386331734312,259.41284870123917,266.10401934044825,272.31013517340926,275.8163456084549,279.25923193312013,281.46255440042063,280.75370175672316,276.5173648425678,270.43102116160145,264.106993900499,259.5687943047632,20,2447.5838272650285,29,"{""type"":""Polygon"",""coordinates"":[[[81.22520110905904,42.77952300490466],[81.27012105426513,42.77952301566237],[81.31504092285223,42.77952305114299],[81.35996075881363,42.7795230492495],[81.4048806056472,42.77952302166091],[81.4048806056472,42.959202534147295],[81.35996075881364,42.9592025255405],[81.31504092285223,42.95920249308341],[81.27012105426515,42.95920249877029],[81.22520110905904,42.9592025307514],[81.22520110905904,42.77952300490466]]]}"
0000000000000000001e,0.14327322102534215,0.1547691280137598,0.12894664806310663,0.09735064120937675,0.07441479055935298,0.07184809282951984,0.07134147560556506,0.0691506010370067,0.06626417267317272,0.06346715962681307,0.08212385945722228,0.12919915659685377,5.759010582394889,5.942186055807167,6.2246577099577065,7.856762869431434,10.65682704101316,13.855829180245648,14.612835115908798,11.120459309804009,6.825626793588644,5.31085304178539,5.853310607788406,5.360078683991246,6055,263.7150186555622,267.66101443630737,276.19369021580235,284.2709944934278,289.20596885832083,293.92740324216163,295.3749538758569,293.9042059411296,287.6727830082428,279.45432747897286,270.8269459711091,265.057968507,260.03005685893277,261.78116880374597,267.4476696058888,273.47601283205444,277.7804371406701,282.5919136272263,284.34340949071077,283.2185544864815,278.22139531183757,272.2733484539743,266.2470951762613,261.8086981352568,54,2194.7744653272844,30,"{""type"":""Polygon"",""coordinates"":[[[85.35784251124284,43.857599887082365],[85.4027623276835,43.85759990367993],[85.44768222527085,43.857599893188436],[85.49260211973139,43.85759985650762],[85.53752200494844,43.85759987042714],[85.53752200494844,44.037279394954155],[85.49260211973139,44.03727933867485],[85.44768222527085,44.037279335406524],[85.4027623276835,44.0372793811041],[85.35784251124284,44.03727940238936],[85.35784251124284,43.857599887082365]]]}"
00000000000000000022,0.5066804177619595,0.5297867973409797,0.41137723392687203,0.16642178136460814,0.14590328937268743,0.1462495274177235,0.14927141710649403,0.14941792071276613,0.15354085875600076,0.17223549432711874,0.32022946909728056,0.49309701279456525,5.538521873619088,5.668630693630693,4.728930331314493,4.827743587285319,12.239828358741837,22.541348137374776,27.635147364053648,19.22232434775429,7.41683625170897,4.17141002348595,4.7977780252252105,,7289,257.47219059656084,262.7488690934766,277.93474851475145,294.59753280138034,300.49680884300426,304.32652477285177,302.73101145246704,301.3592333270918,295.05756485210713,285.1594370567361,271.6639249881183,260.43945974818325,252.3358711706816,254.81270870151386,266.22580349048025,275.42380901796764,281.09675286308453,287.13183116504814,288.372873001467,285.52260426570354,279.3382117174736,272.3496447520996,264.1291049995953,256.0563401520925,103,518.9384081902245,30,"{""type"":""Polygon"",""coordinates"":[[[86.25623985495001,47.99024125140247],[86.30116083512621,47.990241227040016],[86.34608181812324,47.99024122004098],[86.39100280184735,47.99024123041928],[86.43592378378888,47.990241258178216],[86.43592379503849,48.16992071403894],[86.39100283008797,48.16992068937204],[86.34608181704282,48.16992067521872],[86.3011608425322,48.169920674224855],[86.25623990706805,48.169920686370574],[86.25623985495001,47.99024125140247]]]}"
00000000000000000005,0.17786557643954876,0.21523437547869306,0.19128841066627056,0.1318086652423785,0.12349710814457071,0.12819201528409796,0.13650064020558714,0.13374195522106663,0.1223600698496205,0.12785318399683437,0.19158763305666882,0.1970356151446506,7.159796562862163,8.002076103625999,8.052422724606192,7.900396739134288,8.796646171916072,16.26864183250569,25.51124271972557,19.08408092465721,11.535310223263368,8.445710087875122,7.313156963118283,6.484870376432151,951,273.18062464747607,278.28877124341193,283.132133063967,289.3839034580769,294.3657177169501,296.06700347171045,296.2153825591238,294.41392164101256,290.46776276318496,284.887257016991,277.1026843801361,272.7049018242564,255.57929696183461,257.5706683987575,262.78348047249324,267.8297875821517,272.1601917571268,276.5079329230161,279.948001177834,278.5392286528445,273.9429698944162,268.33648664826273,262.15091904917455,256.83326697047653,153,3098.606542882404,32,"{""type"":""Polygon"",""coordinates"":[[[102.78680080218007,37.209441388352744],[102.8317207066142,37.209441402043915],[102.87664055286348,37.20944141383214],[102.92156041532455,37.20944140291234],[102.96648028087594,37.20944143836399],[102.96648028087594,37.389120905510836],[102.92156041532455,37.38912087347851],[102.87664055286348,37.389120890601816],[102.8317207066142,37.38912088801555],[102.78680080218007,37.389120886555155],[102.78680080218007,37.209441388352744]]]}"
00000000000000000021,0.5561533210552605,0.5721252956385114,0.36156735384802363,0.18536745946325042,0.1654779432559834,0.152454532332402,0.16862023456382483,0.17209930763097683,0.17274892497204714,0.18361282026903852,0.2704161539982783,0.515910074803465,,3.629411764705883,4.326096893362743,3.4031011621799254,4.920197479519526,12.633890842209357,16.700367188088524,8.11085090050195,4.245910523587601,4.017826469736681,4.892063551769218,6.200230414746544,7187,256.7601897441165,262.741370843795,282.9623760136694,300.3172588001329,305.5326947557126,306.87282353769604,307.73851481131595,306.9539047152085,298.60359489344705,287.57943749414756,274.1400422203005,260.06101263549203,247.23652740599724,251.33275232956208,266.02533250676527,275.6161040895303,281.8814185149147,288.6206745308839,289.59399885416826,286.4635650434142,278.9086338632724,270.42934046161844,262.014124279957,251.51434608053597,57,502.28014307142024,35,"{""type"":""Polygon"",""coordinates"":[[[87.69368014759868,47.2715233288168],[87.73860003220113,47.27152332977106],[87.78351988196171,47.271523295507365],[87.82843974758396,47.271523301669774],[87.87335960419398,47.27152334783111],[87.87335964242266,47.45120282515151],[87.82843978675511,47.45120283747408],[87.78351988150582,47.45120280953989],[87.73860002543896,47.451202818027795],[87.69368016553256,47.45120278702862],[87.69368014759868,47.2715233288168]]]}"
